Image,Superpixel amount,Otsu JAC,Chan-vese JAC,JAC Product
ISIC_0000003.jpg,200,0.8730448773200022,0.9380601694656021,0.8189686255698772
ISIC_0000003.jpg,250,0.8659362229054691,0.9340661861701111,0.8088417451958627
ISIC_0000003.jpg,300,0.8710059307618041,0.9294776362168141,0.8095805336553077
ISIC_0000003.jpg,350,0.8747513462754642,0.9318154840537757,0.8151068491563637
ISIC_0000003.jpg,400,0.8549767284939847,0.94216233602132,0.8055268717617585
ISIC_0000003.jpg,450,0.8523313081100985,0.9266248343178493,0.7897913571614358
ISIC_0000003.jpg,500,0.841385922190478,0.9366986258325094,0.7881250371106394
ISIC_0000003.jpg,550,0.8520934227529113,0.930946213154708,0.7932531451658565
ISIC_0000003.jpg,600,0.8732282558674643,0.9299257816692991,0.8120374684132705
ISIC_0000003.jpg,650,0.855886537878875,0.9339706902698289,0.799372940575387
ISIC_0000003.jpg,700,0.8409010709134984,0.9363031940372861,0.787338358565683
ISIC_0000003.jpg,750,0.8476715775584647,0.9344090142572437,0.7920719632002876
ISIC_0000003.jpg,800,0.8459727181036896,0.9318786568205695,0.7883439202533125
ISIC_0000003.jpg,850,0.8554081006443695,0.9377725280246056,0.8021782170339966
ISIC_0000003.jpg,900,0.8555039449509614,0.9391352698686607,0.803433928215225
ISIC_0000003.jpg,950,0.870743419992789,0.9325947365394568,0.8120507303616407
ISIC_0000003.jpg,1000,0.8555950171056871,0.9326889886089058,0.7980040511631228
ISIC_0000003.jpg,1050,0.8550985889563493,0.937095438230512,0.8013089869483425
ISIC_0000003.jpg,1100,0.8550985889563493,0.937095438230512,0.8013089869483425
ISIC_0000003.jpg,1150,0.8578989556526309,0.9337009583047324,0.8010210770214906
ISIC_0000003.jpg,1200,0.8649859428277737,0.9356853872260464,0.8093547068598923
ISIC_0000003.jpg,1250,0.844781294588748,0.9410731610048279,0.7950010032563837
ISIC_0000003.jpg,1300,0.844781294588748,0.9410731610048279,0.7950010032563837
ISIC_0000003.jpg,1350,0.8512074626407684,0.9338901928298587,0.794934301423802
ISIC_0000003.jpg,1400,0.8510770505385252,0.9333468838325926,0.7943501130215664
ISIC_0000003.jpg,1450,0.8541395776997871,0.936472384049828,0.7998781266398329
ISIC_0000003.jpg,1500,0.8541395776997871,0.936472384049828,0.7998781266398329
ISIC_0000003.jpg,1550,0.8506321151308723,0.9351442368545204,0.7954637201480061
ISIC_0000012.jpg,200,0.4239581850879122,0.00021381496201640086,9.06486032411142e-05
ISIC_0000012.jpg,250,0.42505531999060486,1.8489414810021264e-05,7.859024128512617e-06
ISIC_0000012.jpg,300,0.40999324429662737,1.669706150269843e-05,6.84568241571165e-06
ISIC_0000012.jpg,350,0.4629206495139462,7.222088479842966e-05,3.343253889936094e-05
ISIC_0000012.jpg,400,0.44784187392503205,7.272198385571958e-06,3.2567949525491384e-06
ISIC_0000012.jpg,450,0.4708547553481558,2.0180412891247756e-05,9.502043374733231e-06
ISIC_0000012.jpg,500,0.41531885242606564,1.4664530533385638e-05,6.090455992492723e-06
ISIC_0000012.jpg,550,0.41680050987890377,4.4130058637815414e-05,1.8393430941227386e-05
ISIC_0000012.jpg,600,0.4287161948191779,1.289179547718981e-05,5.526921501367902e-06
ISIC_0000012.jpg,650,0.4168580124953276,5.476581225914452e-06,2.282956765103923e-06
ISIC_0000012.jpg,700,0.44912427022518764,3.10409302053814e-05,1.3941235125602904e-05
ISIC_0000012.jpg,750,0.45068152253831795,1.4616704335131797e-05,6.5874785642496306e-06
ISIC_0000012.jpg,800,0.4280890929230112,4.928356301907456e-05,2.109775578884969e-05
ISIC_0000012.jpg,850,0.42783420707732633,2.3725744988392635e-05,1.0150685294427812e-05
ISIC_0000012.jpg,900,0.4393732224896084,2.003314575024131e-05,8.802027804887529e-06
ISIC_0000012.jpg,950,0.45509480289182924,0.0,0.0
ISIC_0000012.jpg,1000,0.4340300368683583,3.670869812602096e-06,1.5932677601026312e-06
ISIC_0000012.jpg,1050,0.438931144110427,0.0,0.0
ISIC_0000012.jpg,1100,0.438931144110427,0.0,0.0
ISIC_0000012.jpg,1150,0.42910833023582373,0.0,0.0
ISIC_0000012.jpg,1200,0.4329195312717455,0.0,0.0
ISIC_0000012.jpg,1250,0.43318825692041524,1.1003359692492775e-05,4.766526205459301e-06
ISIC_0000012.jpg,1300,0.43318825692041524,1.1003359692492775e-05,4.766526205459301e-06
ISIC_0000012.jpg,1350,0.43597702088268125,0.0,0.0
ISIC_0000012.jpg,1400,0.4401450698080279,0.0,0.0
ISIC_0000012.jpg,1450,0.44476740237691004,0.0,0.0
ISIC_0000012.jpg,1500,0.44476740237691004,0.0,0.0
ISIC_0000012.jpg,1550,0.44622836249814485,1.281328481369484e-05,5.717651100637395e-06
ISIC_0000013.jpg,200,0.8502189387179114,0.9031384411042913,0.7678654069110395
ISIC_0000013.jpg,250,0.8419151795675435,0.898666210138048,0.7566007236796585
ISIC_0000013.jpg,300,0.8513185342009403,0.9043072628307242,0.7698535334603165
ISIC_0000013.jpg,350,0.8416237701855619,0.8948343408660457,0.7531138516511936
ISIC_0000013.jpg,400,0.8172133401829683,0.9118414703120055,0.745169013671023
ISIC_0000013.jpg,450,0.8537862394985237,0.8788188535137603,0.7503234441419174
ISIC_0000013.jpg,500,0.825495171526275,0.9064685858984205,0.7482854407993966
ISIC_0000013.jpg,550,0.848311720659433,0.8909898503497374,0.7558371330402766
ISIC_0000013.jpg,600,0.8336057619959422,0.8998033324511834,0.7500812425944567
